title,lyric,themes,reference,url
Canvas And Clay,"Intro Verse 1 In my mother’s w omb You formed me with Your hands Known and loved by Y ou Be fore I took a breath Pre-Chorus 1 When I doubt it, Lord, re mind me I’m wonderfully made You’re an artist and a potter I’m the c anvas and the cl ay Chorus You make all things work to gether For my f uture and for my good You make all things work to gether For Your glory and for Your name Turn Verse 2 There’s a healing l ight Just beyond the clouds Though I’ve walked through f ire I see clearly now Pre-Chorus 2 I know nothing has been wasted No failure or mistake You’re an artist and a potter I’m the c anvas and the cl ay REPEAT CHORUS X2 Interlude Bridge When I doubt it, Lord, re mind me I’m w onderfully m ade You’re an artist and a potter I’m the c anvas and the cl ay I know nothing has been wasted No failure or mis take You’re an artist and a potter I’m the c anvas and the cl ay REPEAT CHORUS REPEAT BRIDGE REPEAT INTERLUDE Vamp X4 You're not finished with me You're not finished with me yet You're not finished with me You're not finished with me yet REPEAT BRIDGE Outro","['Communion', 'Gods Attributes', 'Peace & Hope', 'Prayer & Renewal']","['Ps 139.13-15', 'Isa 64. 8']",https://www.worshiptogether.com/songs/canvas-and-clay-pat-barrett/
This Is A Move,"Verse 1 The mountains are still being moved St rongholds are still being loosed God we believe ‘cause yes we can see it That wonders are still what You do Verse 2 Bodies are still being raised Giants are still being slain God we believe yes we can see it That wonders are still what You do Chorus 1 We are here for You Come and do what You do We are here for You Come and do what You do We set our hearts on You Come and do what You do ‘Cause we need a move We need a move We need a move We need a move REPEAT Verse 2 & Chorus 1 Bridge 1 Miracles happen when You move Healing is coming in this room Miracles happen when You move Heaven is coming Bridge 2 Miracles happen when You move Healing is coming in this room Miracles happen when You move Heaven is coming COLUMN_BREAK REPEAT Bridge 2 Chorus 2 This is a move This is a move This is a move oh, oh This is a move This is a move This is a move This is a move oh, oh This is a move This is a move This is a move This is a move oh, oh This is a move REPEAT CHORUS 1 Tag <i>(Freely)</i> We need a move We need a move This is a move This is a move",['Faith & Trust'],"['Isa 43.19', 'John 14.12-14', 'Jer 32.27']",https://www.worshiptogether.com/songs/this-is-a-move-tasha-cobbs-leonard/
Christ Be Magnified,"Intro Verse 1 Were cre ation suddenly artic ulate With a thousand tongues to lift on e cry Then from north to south and east to west We’d hear "" Christ be magnified!"" Verse 2 Were the whole earth echoing His em inence His name would burst from sea and sky From rivers to the mountaintops We’d hear "" Christ be magnified! "" Chorus O Christ be magnifie d Let His praise ari se Christ be magnif ied in me O Christ be magnifie d From the altar of my li fe Christ be magnif ied in me Turn Verse 3 When every creature finds its inmost mel ody And every human heart its native cry Oh then in one enraptured hymn of praise We’ll sing "" Christ be magnifie d!"" REPEAT CHORUS Interlude Bridge I won’t bow to idols I’ll stand strong and worship You If it puts me in the fire I’ll re joice ‘cause You’re there too I won’t be formed by feelings I hold fast to what is true If the cross brings transformation Then I’ll be c rucified with You 'Cause death is just the doorway Into resurrection life If I join You in Your sufferings Then I’ll join You when You rise And when You return in glory With all the angels and the saints My heart will still be singing And my song will be the same REPEAT CHORUS Final Chorus O Christ be magnifie d Let His praise ari se Christ be magnif ied in me O Christ be magnif ied From the altar of my li fe Christ be magnif ied in me","['Adoration & Praise', 'Call to Worship', 'Commitment & Dedication', 'Easter']","['Phil 2. 9-11', 'Ps 47.6-7', '1 Chron 16.23-25']",https://www.worshiptogether.com/songs/christ-be-magnified-cody-carnes/
Protector,"Intro Verse 1 I come out of agr eement With the lie that You have left me On my ow n, I am not alo ne I come out of agr eement With the wor ry and the fear I’ve come to kn ow No, they won’t have a hold on me Half-Chorus Prote ctor You nev er, never, never let me g o You sa id You wouldn’t leave me And You wo n’t You’re right by my si de Prote ctor Verse 2 I come into agr eement With the tr uth that You are Who You say You a re I can trust Your he art I come into agr eement With what He aven has declared Over my li fe 'Cause I know that You fight for me Chorus Prote ctor You nev er, never, never let me g o You sa id You wouldn’t leave me And You wo n’t You’re right by my si de Prote ctor You hi de me in the shadow o f Your wi ngs Your pr esence is my peace My coveri ng My song in the ni ght Prote ctor Prote ctor Bridge 1 No weapon, no worry will prosper against me No darkness, no evil will tease or torment me REPEAT BRIDGE 1 Bridge 2 All power, dominion to one name is given My fortress, my freedom, my refuge, my Jesus All power, dominion to one name is given My fortress, my freedom, my refuge, my Jesus REPEAT CHORUS Vamp REPEAT VAMP X3 REPEAT BRIDGE 1 X2 REPEAT BRIDGE 2 REPEAT CHORUS Tag Prote ctor","['Adoration & Praise', 'Gods Attributes']","['Ps 57.1', 'Deut 31.6', 'Ps 5.11']",https://www.worshiptogether.com/songs/protector-kim-walker-smith/
God So Loved,"Intro Verse 1 Come all you weary, come all you thirsty Come to the well that never runs dry Drink of the Water, come and thirst no more Turnaround Verse 2 Come all you sinners, come find His mercy Come to the table, He will satisfy Taste of His goodness, Find what you’re looking for Turnaround Chorus 1 For God so loved the world that He gave us His one and only Son to save us Who ever believes in H im will live forever Turnaround Interlude Whoa Whoa Whoa Whoa Verse 3 Bring all your failures, bring your addictions Come lay them down at the foot of the cross Jesus is waiting th ere with open arms Turnaround Chorus 2 For God so loved the world that He gave us His one and only Son to save us Who ever believes in H im will live forever The power of Hell for ever defeated Now it is well, I’m walking in freedom For God so loved, God so loved the world Turnaround Bridge Praise God, praise God From whom all blessings fl ow Praise Him, praise Him For the wonders of His l ove REPEAT BRIDGE Tag His a mazing lov e Chorus 3 For God so loved the world that He gave us His one and only Son to save REPEAT CHORUS 2 Turnaround Verse 3 Bring all your failures. Bring your addictions Come lay them down at the foot of the cross Jesus is waiting. God so loved the world","['Adoration & Praise', 'Gods Attributes', 'Grace & Mercy', 'Easter']","['John 3.16', 'Matt 11.28']",https://www.worshiptogether.com/songs/god-so-loved-we-the-kingdom/
You Get The Glory,"Intro Verse 1 This is so heav y And it’s bringing me to m y knees I’m crying ou t Lord, I need You now To come and see about m e Verse 2 Why’s this life s o hard? Why do You seem s o far? But if this cup won’t pa ss Help me to stay steadfa st Let Your will be do ne Chorus You get the glory from th is You get the glory from th is No matter what I have to Go through in this world As long as You get the glory from i t REPEAT CHORUS Verse 3 This is my cross t o bear This is my story t o tell That no matter what I’ve gone through I’ve been tried and came out true So let Your will be do ne COLUMN_BREAK REPEAT CHORUS 2X Bridge Tribul ation, persecution My affl iction– You get the glory from it In my we akness, in my br okenness In the cr ushing- You get the glory from this On the mo untain top, in the valley low You are i n control– You get the glory from this On my go od days, on my ba d days I will st ill say: You get the glory from this REPEAT CHORUS","['Adoration & Praise', 'Faith & Trust', 'Suffering & Trials']","['Joel 2.12', 'Deut 31.6', '2 Sam 7.9']",https://www.worshiptogether.com/songs/you-get-the-glory-jonathan-traylor/
Oceans (Where Feet May Fail),Intro Verse 1 You call me out up on the w aters The great un known where feet may fail And there I find You in the mystery In oceans deep my faith wi ll stand Chorus I will call upon Your Name And keep my eyes above th e waves When oceans rise My soul will rest in Your e mbrace For I am Yours and You are mine Interlude Verse 2 Your grace abounds in deepest waters Your sovere ign hand will be my guide Where feet may fail and fear surr ounds me You've nev er failed and You won't start now REPEAT CHORUS Instrumental Bridge 1 X3 Spirit lead me where my trust is without borders Let me walk upon the waters Wher ever You would call me Take me deeper than my feet could ever wander And my faith will be made stronger In the presence of my Saviour Bridge 2 Spirit lead me where my trust is without borders Let me walk upon the waters Wher ever You would call me Take me deeper than my feet could ever wander And my faith will be made stronger In the presence of my Saviour Bridge 3 X2 Spirit lead me where my trust is without borders Let me walk upon the waters Wher ever You would call me Take me deeper than my feet could ever wander And my faith will be made stronger In the presence of my Saviour Instrumental REPEAT CHORUS,"['Commitment & Dedication', 'Communion', 'Grace & Mercy', 'Peace & Hope', 'Suffering & Trials']",['Matt 14.22-33'],https://www.worshiptogether.com/songs/oceans-where-feet-may-fail-united/
"10,000 Reasons (Bless The Lord)",Intro Chorus Bless the Lord O my soul O my soul Worship His Holy name Sing like never be fore O my soul I'll worship Your Holy name Verse 1 The sun comes up It's a new day dawning It's time to sing Your song again What ever may pass And what ever lies be fore me Let me be singing When the evening comes Verse 2 You're rich in love And You're slow to anger Your name is great And Your heart is kind For all Your goodness I will keep on singing Ten thousand reasons For my heart to find Verse 3 And on that day When my strength is failing The end draws near And my time has come Still my soul will Sing Your praise unending Ten thousand years And then for ever more for ever more,"['Adoration & Praise', 'Commitment & Dedication']",['Ps 103.1-5'],https://www.worshiptogether.com/songs/10-000-reasons-bless-the-lord
The Father's House,"Intro Verse 1 Sometimes on this journey, I get lost in my mistakes What looks to me like weakness, Is a canvas for Your strength My story isn’t over, my story’s just be gun Failure won’t define me, Cause that’s what my Father does Failure won’t define me Cause that’s what my Father does Chorus Oo h lay your burdens down Oo h here in the Father’s house Check your shame at the door It ain’t welcome any more Oo h you’re in the Father’s house Interlude Verse 2 Arr ival’s not the endgame, The journey’s where You are You never wanted perfect, You just wanted my heart And the story isn’t over, if the story isn’t good Failure’s never final when the Father’s in the room Failure’s never final when the Father’s in the room REPEAT CHORUS Interlude Bridge Prodigals come home, the helpless find hope Love is on the move when the Father’s in the room Prison doors fling wide, the dead come to life Love is on the move when the Father’s in the room Miracles take place, the cynical find faith Love is breaking through when the Father’s in the room Jericho walls are quakin’, strongholds now are shakin’ Love is breaking through when the Father’s in the room Tag Love is breaking through when the Father’s in the room REPEAT CHORUS X2","['Faith & Trust', 'Gods Attributes', 'Prayer & Renewal', 'Suffering & Trials']","['Luke 5.11 - 31', 'Matt 11.28-30']",https://www.worshiptogether.com/songs/the-fathers-house-cory-asbury/
Let The Light In,"Intro Verse It’s time for the sleeper to wake It’s time for the old wind s to ch ange I hear the Spirit say it’s t ime It’s time for the dead man to rise It’s time for the Great Light to sh ine I hear the Spirit say it’s t ime Chorus Fling wide you heav - enly gates Let the King of glory in Let the King of glory in Come ride i n on Your people’s praise Let the King of glory in Let the King of glory in Turnaround REPEAT VERSE REPEAT CHORUS 2X Turnaround Bridge Open up the windows, Let the light in. Open up the windows, Let the light in. Open up the windows, Let the light in. Let the light in, Let the light in. Bridge 2 Open up the windows, Let the light in Open up the windows, Let the light in Open up the windows, Let the light in Let the light in, Let the light in REPEAT BRIDGE 2 Bridge 3 Open up the windows, Let the light in Open up the windows, Let the light in Open up the windows, Let the light in Let the light in, Let the light in Bridge 4 Open up the windows, Let the light in Open up the windows, Let the light in Open up the windows, Let the light in Let the light in, Let the light in REPEAT CHORUS 2X Tag Let the light in Open up the windows, Let the light in Open up the windows, Let the light in Let the light in, Let the light in","['Adoration & Praise', 'Call to Worship', 'Church & Unity']","['Ps 24.7-9', 'Eph 5.14']",https://www.worshiptogether.com/songs/let-the-light-in-cody-carnes/
Reaching For You,"Intro Verse 1 Jesus, my Living Water Name above al l names Lamb of God, New Life Giver You conquered th e grave Pre-Chorus And I don’t have to wo nder where My ho pe is coming fr om I li ft my hands for who You are And everything You’ve d one Chorus Oh, I know what I'm reaching fo r I know what I'm reaching for I’m reaching for You I’m reaching for You Oh, I know what I'm living fo r I know what I'm living for I'm living for You I'm living for You Turnaround Verse 2 Healer of broken people You’re never far a way I draw close, You draw closer Meet me in th is place REPEAT PRE-CHORUS REPEAT CHORUS REPEAT TURNAROUND X2 Bridge There is freedom wherever You ar e And I can see it. You're the light in the dark You are, You are, You are, o h There is power when I say Your na me And I can feel it cause You're breaking the chains You are, You are, You are, o h REPEAT CHORUS X2 Outro I know what I'm living fo r I'm living for You, oh I know what I'm reaching for Oh, I'm reaching for You","['Commitment & Dedication', 'Gods Attributes']","['2 Cor 3.17', 'Heb 11.6', 'Ps 63.1']",https://www.worshiptogether.com/songs/reaching-for-you-chris-tomlin/
Revival,"Intro Verse 1 Only You Only You can heal our la nd Only You Only You can make things ri ght again Come ch ase our wandering hearts These pr odigals we are Don’t wa it, don’t wa it Chorus Open up the heavens Pour out Your presence We want to see re vival Bring us back to You Oh, how we need You to We want to see re vival Turnaround Verse 2 Only You Only You make darkness sh ake Only You Only You can make dry bo nes awake Come fi ll our starving hearts These hu ngry souls of ours We wa it, we wa it REPEAT CHORUS Interlude Bridge We want to see hearts ablaze We want to see people changed We want to see re vival, re vival We want to see mercy win The hopeless to hope again We want to see re vival, re vival We want to see lives restored And evil to win no more We want to see re vival, re vival We want to see miracles Let heaven invade this world We want to see re vival, re vival REPEAT CHORUS 2X Instrumental Down Chorus Open up the heavens Pour out Your presence We want to see re vival Bring us back to You Oh, how we need You to We want to see re vival","['Grace & Mercy', 'Prayer & Renewal']","['Hos 6.2', 'Ps 80.18']",https://www.worshiptogether.com/songs/revival-jesus-culture/
Prophesy Your Promise,"Intro Verse 1 I found You in the middle of my mess You had been there all alo ng Open arms and open heart, You called me in You didn’t hesitate at all Pre-Chorus And the lies I once be lieved They crumble With the weight of Your truth And the fear that gripped my heart Is arrested So that I can s ee You Chorus When I only see in part I will prophesy Your promise I be lieve You, God 'Cause You finish what You sta rt I will trust You in the process I be lieve You, G od Verse 2 You set a table in the middle of my war You knew the outcome of it all When what I faced looked like it would never end You said, watch the giants fall Pre-Chorus And the lies I once be lieved They crumble With the weight of Your truth And the fear that gripped my heart Is arrested So that I can s ee You Chorus When I only see in part I will prophesy Your promise I be lieve You, God 'Cause You finish what You sta rt I will trust You in the process I be lieve You, G od REPEAT CHORUS Bridge Fear can go to hell Shame can go there too I know whose I am God, I belong to You Fear can go to hell Shame can go there too I know whose I am God, I belong to You REPEAT BRIDGE Tag I bel ong REPEAT CHORUS X2","['Faith & Trust', 'Peace & Hope']","['Ps 100.3', 'Phil 1.6']",https://www.worshiptogether.com/songs/prophesy-your-promise-bryan-and-katie-torwalt/
Uncomplicated,"Verse 1 There’s a simplicity hu mility To the way You love me An honesty a purity God You make it easy No special words or formulas Could ever win You over For Your love is undeserved Pre-Chorus Even when I can’t see clearly Somehow You still make it easy Chorus Your love’s uncomp licated You love me just the way I am So I stand be fore You I’m totally surr endered With open hands and open heart Jesus have Your way in m e O oh ah ooh ah Jesus have Your way in Verse 2 My brokenness my loneliness And the secrets You see My deepest thoughts my hidden wars God You see right through me Pre-Chorus 2 Even when I’m overt hinking Somehow You still love me simply REPEAT CHORUS Tag O oh ah ooh ah Bridge X3 I could sing over and over I lo ve You, it never grows old How could I t ell You enough That I love You, I love You L ord Instrumental REPEAT BRIDGE DOWN BRIDGE","['Adoration & Praise', 'Gods Attributes']","['Ps 86.15', 'Ps 104.33']",https://www.worshiptogether.com/songs/uncomplicated-hillsong-young-free/
Move,"Intro Verse 1 When You move, darkness runs for cover When You move, no one’s turned away Because where You are fear turns into pra ises Where You are, no heart’s left unch anged Chorus So come move, let justice roll on like a river Let worship turn into revival Lord, lead us back to You Verse 2 When You move, the outcast finds a family When You move, the orphan finds a home Lord, here we are, oh, teach us to love mercy With hum ble hearts, we bow down at Your throne REPEAT CHORUS X2 Bridge King of all generations Let every tongue and nation Surrender all to You alone BRIDGE X2 Chorus So come move, let justice roll on like a river Let worship turn into revival Lord, lead us back to You REPEAT X2 REPEAT Bridge X2 REPEAT Chorus Interlude REPEAT Chorus X2","['Church & Unity', 'Gods Attributes', 'Grace & Mercy', 'Missions', 'Prayer & Renewal']",['Ps 68.4-6'],https://www.worshiptogether.com/songs/move-jesus-culture/
Lord Send Revival,"Intro Verse 1 Peace like a river wash over me Immerse me in wa ter as deep as the sea Hide me in love, Your healing embrace Peace like a river wash over me Chorus As I worship Your ma jesty I worship Your ho - ly Name Jesus, my everythi ng All that I am is Yours Interlude Verse 2 Come Holy Spirit, rain down on me Break open the heavens and drench the unseen Pour out Your presence as I pour out Your praise Come Holy Spirit, Lord have Your way Chorus 2 As I worship Your majesty I worship Your ho - ly Name Jesus, my everything All that I am is Yours REPEAT CHORUS 2 Interlude Bridge 1 Open the heavens, fling wide the gates Flood every heart with mercy Pour out Your presence, inhabit our praise As we cr y holy, h oly REPEAT BRIDGE 1 X2 Tag 1 Who a, who a As we cry holy, holy Wh oa, wh oa Bridge 2 Lord send rev ival, Lord send it now A move of Your Spirit, heaven break out Come now in po wer, cover this la nd Like You’ve done it before would You do it again? REPEAT BRIDGE 2 Bridge 3 Lord send revival, Lord send it now A move of Your Spirit, heaven break out Come now in p ower, cover this la nd Like You’ve done it be fore would You do it again? REPEAT BRIDGE 3 Tag 2 Heaven break out , heaven break out Heaven break out , heaven break out REPEAT BRIDGE 3 Bridge 4 Lord send rev ival, Lord send it now A move of Your Spirit, heaven break out Come now in p ower, cover this la nd Like You’ve done it be fore would You do it ag ain?","['Commitment & Dedication', 'Faith & Trust', 'Grace & Mercy', 'Prayer & Renewal']","['Ps 85.6', 'Ps 62.8', 'Isa 45.8']",https://www.worshiptogether.com/songs/lord-send-revival-yf/
Do It Again,Intro Verse 1 Walking around these walls I thought by now they’d fall But You have never failed me yet Waiting for change to come Knowing the battle’s won For You have never failed me yet Chorus Your promise still stands Great is Your faith fulness Faithfulness I’m still in Your hands This is my con fidence You’ve never failed me yet Turnaround Verse 2 I know the night won’t last Your word will come to pass My heart will sing Your praise a gain Jesus You’re still enough Keep me within Your love My heart will sing Your praise a gain REPEAT CHORUS |2x| Turnaround 2 |2x| Intstrumental |2x| Bridge I’ve seen You move You move the moun tains And I believe I’ll see You do it again You made a way Where there was no way And I believe I’ll see You do it again |3x| Tag I’ll see You do it a- gain REPEAT CHORUS |2x| Turnaround You’ve never failed me yet I never will forget You’ve never failed me yet I never will forget,"['Commitment & Dedication', 'Communion', 'Faith & Trust', 'Suffering & Trials']","['Ps 9.9-10', 'Deut 31.6']",https://www.worshiptogether.com/songs/do-it-again-elevation-worship/
